Features_Models,dcg,ndcg,spearman_rank,kendalltau,ml_mse,ml_mae,ml_accuracy,ml_f1,ml_recall,ml_precision,ranking_accuracy
glove-wiki-gigaword-300_pairwiseSVM,23.85431503284059,0.9983830070065831,0.9918279171960027,0.984958730011026,,,,,,,0.9324960753532182
mbertRank,23.86296139586568,0.9987433316227375,0.9888277906068558,0.9804294064470358,27.688195785075465,4.966096081719887,,,,,0.9162742019884877
os_avgfasttext-wiki-news-subwords-300_class_logistic_reg,22.53127785571332,0.9425439299276374,0.8278262638833703,0.7506404388896151,43.52723470987977,6.106220595922634,0.0,0.0,0.0,0.0,0.957613814756672
os_avgfasttext-wiki-news-subwords-300_class_svm,22.58016921473943,0.9447388942589396,0.8174977707262979,0.7413555756698308,42.31845269210664,5.991427077888134,0.0,0.0,0.0,0.0,0.9256933542647828
os_avgfasttext-wiki-news-subwords-300_linear_reg,23.642856911623106,0.9894803319318237,0.9473740556543478,0.9153994026221776,48.564281071968026,6.558808976471935,,,,,0.6991104133961277
os_avgfasttext-wiki-news-subwords-300_ordinal_logistic_reg,22.818265782067538,0.9548154837749067,0.867095253881443,0.7984555368044662,43.87600627286984,6.14720334553058,0.0,0.0,0.0,0.0,0.9764521193092621
os_avgglove-wiki-gigaword-300_class_logistic_reg,22.40911237616362,0.9375767496871195,0.8179919926141598,0.7427289063826021,43.1363303711448,6.035023523261892,0.0006272869837950862,8.157462082444082e-05,0.0006272869837950862,4.3623807628096655e-05,0.9262166405023547
os_avgglove-wiki-gigaword-300_class_svm,22.383852435702142,0.9364538125466004,0.8264662458204841,0.751298546661621,43.33852587558808,6.041923680083638,0.00020909566126502875,2.8326234123596276e-05,0.00020909566126502875,1.5192159624835042e-05,0.9408686551543695
os_avgglove-wiki-gigaword-300_linear_reg,22.400349398908652,0.9372527352279462,0.6592139908359401,0.5886006223687098,40.58215789543278,5.74613961794035,,,,,0.22553636839351124
os_avgglove-wiki-gigaword-300_ordinal_logistic_reg,22.554722537165695,0.9437243105347948,0.8386451113753237,0.7655910423895108,43.10350235232619,6.042760062728698,0.0006272869837950862,8.33406194365951e-05,0.0006272869837950862,4.463541434882443e-05,0.9256933542647828
os_avgword2vec-google-news-300_class_logistic_reg,22.570402741231092,0.9443551929657973,0.8367601857349388,0.761596166044003,43.55190799790904,6.108311552535285,0.0,0.0,0.0,0.0,0.9691261119832548
os_avgword2vec-google-news-300_class_svm,22.747060997571225,0.9517519535918701,0.8474633324541005,0.7752350304475942,43.604704652378466,6.117825405122844,0.0,0.0,0.0,0.0,0.9513343799058085
os_avgword2vec-google-news-300_linear_reg,23.5643310202279,0.9861747594387714,0.9231740141779545,0.8811415725006939,39.858670593292295,5.803577752052087,,,,,0.6043956043956044
os_avgword2vec-google-news-300_ordinal_logistic_reg,22.801755155794687,0.9541578779806099,0.8714618272274918,0.8018250485010717,43.76999477260847,6.132357553580763,0.0,0.0,0.0,0.0,0.9790685504971219
os_eng_bertRank,23.647514117477872,0.9897268880510657,0.9605014248645931,0.9314600556325685,,,,,,,0.7331240188383046
os_eng_fasttext-wiki-news-subwords-300_pairwiseSVM,23.70732129871131,0.9921965220044731,0.9751636288767638,0.9576724129811928,,,,,,,0.8367346938775511
os_eng_glove-wiki-gigaword-300_pairwiseSVM,23.386356823366288,0.9787799206616712,0.934974564880445,0.8946753298379575,,,,,,,0.6279434850863422
os_eng_word2vec-google-news-300_pairwiseSVM,23.676311999887226,0.9908798679682677,0.9771344467213537,0.9611845512920132,,,,,,,0.8461538461538461
os_sum_fasttext-wiki-news-subwords-300_class_logistic_reg,22.525447480253877,0.9424030345898726,0.7417379591635076,0.6708537482661405,46.282383690538424,6.283847360167276,0.0,0.0,0.0,0.0,0.8660387231815804
os_sum_fasttext-wiki-news-subwords-300_class_svm,22.39552061246636,0.9375097065067309,0.8114664327075044,0.747200991412413,42.55567171981181,5.990904338734971,0.0,0.0,0.0,0.0,0.9010989010989011
os_sum_fasttext-wiki-news-subwords-300_linear_reg,23.616814091577673,0.9884451158778986,0.9173046993398216,0.873817393710473,47.62675865337896,6.469877393960498,,,,,0.5934065934065934
os_sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,22.78535338302409,0.9535483177246821,0.8528804498537038,0.783300268048787,44.374072138003136,6.176685833768949,0.0,0.0,0.0,0.0,0.978021978021978
os_sum_glove-wiki-gigaword-300_class_logistic_reg,22.161116490700703,0.9273783901907436,0.767301968157865,0.6920388958258471,44.67579717720857,6.126502875065342,0.0005227391531625719,8.033864172104021e-05,0.0005227391531625719,4.3513032444599065e-05,0.8916797488226059
os_sum_glove-wiki-gigaword-300_class_svm,22.43055620784767,0.9389983309317816,0.8285839167197699,0.7621547503913175,43.209513852587556,6.0534239414532145,0.0,0.0,0.0,0.0,0.8958660387231816
os_sum_glove-wiki-gigaword-300_linear_reg,23.33092858882944,0.9765241235477273,0.8801336240017745,0.8263658463115024,41.68542860823741,5.962802192126157,,,,,0.5065410779696494
os_sum_glove-wiki-gigaword-300_ordinal_logistic_reg,21.414294308059947,0.8960246445877005,0.61843369596745,0.5545778263519077,41.96309461578672,5.808363826450601,0.005645582854155776,0.00043308580799003213,0.005645582854155776,0.00022517994290080024,0.8430141287284144
os_sum_word2vec-google-news-300_class_logistic_reg,22.2748179139319,0.9319073510585638,0.7151004452036851,0.642983198692994,45.455514898065864,6.178985886042865,0.0,0.0,0.0,0.0,0.879644165358451
os_sum_word2vec-google-news-300_class_svm,22.351729452589733,0.9356926355099621,0.8054762259953515,0.739943594462243,41.3916361735494,5.892211186617877,0.0,0.0,0.0,0.0,0.8979591836734694
os_sum_word2vec-google-news-300_linear_reg,23.40696932193218,0.979678868530441,0.8974831874735872,0.8477903275785476,37.228900094843134,5.580783577361467,,,,,0.5421245421245421
os_sum_word2vec-google-news-300_ordinal_logistic_reg,22.319142176706645,0.9341239395150996,0.8262979407740855,0.753169428953863,41.16403554626242,5.864924202822792,0.0007318348144276007,6.42362846519524e-05,0.0007318348144276007,3.359241771143085e-05,0.9602302459445317
sum_fasttext-wiki-news-subwords-300_class_logistic_reg,23.64381633713774,0.9895831112061485,0.9682739088742391,0.9405691666477248,1.8483010977522216,0.775222164140094,0.5322530057501307,0.5161321490311362,0.5322530057501307,0.5106527984215098,0.9863945578231292
sum_fasttext-wiki-news-subwords-300_class_svm,23.447907722827715,0.9814261922525406,0.9385393620046902,0.9056270331584084,2.8426555148980657,0.9329848405645583,0.5281756403554626,0.47417621560634615,0.5281756403554626,0.48397203585873444,0.9607535321821036
sum_fasttext-wiki-news-subwords-300_linear_reg,23.870637884052528,0.999057334496737,0.987829622163869,0.9759805234124279,1.6495165015250275,0.9776179709641235,,,,,0.8812140240711669
