Features_Models,dcg,ndcg,spearman_rank,kendalltau,ml_mse,ml_mae,ml_accuracy,ml_f1,ml_recall,ml_precision,ranking_accuracy
glove-wiki-gigaword-300_pairwiseSVM,2.6157494877173386,0.9942300755717586,0.9708994708994709,0.9682539682539683,1.744268077601411,1.0211640211640212,0.3298059964726631,0.3298059964726631,0.3298059964726631,0.3298059964726631,0.9682539682539683
mbertRank,2.6195294955404664,0.9956668329834671,0.9708994708994709,0.964726631393298,0.058486055890357894,0.09809829547633359,,,,,0.9576719576719577
newsela_avgfasttext-wiki-news-subwords-300_class_logistic_reg,2.2533783739985176,0.856495074009324,0.810567009271645,0.7685425535144342,63.89417989417989,7.4109347442680775,0.010582010582010581,0.013745704467353952,0.010582010582010581,0.0196078431372549,0.9735449735449735
newsela_avgfasttext-wiki-news-subwords-300_class_svm,2.365686739002296,0.8991827834973183,0.7893160965857597,0.7568082411001495,52.313932980599645,6.666666666666667,0.001763668430335097,0.003189792663476874,0.001763668430335097,0.01666666666666667,0.91005291005291
newsela_avgfasttext-wiki-news-subwords-300_linear_reg,2.559952993915359,0.973022176073022,0.7433862433862434,0.6613756613756614,45.05904308358897,6.588548105020658,,,,,0.4973544973544973
newsela_avgfasttext-wiki-news-subwords-300_ordinal_logistic_reg,2.397307273318244,0.9112015514910374,0.8651911357962221,0.8276670870587848,50.37742504409171,6.557319223985891,0.001763668430335097,0.0032679738562091504,0.001763668430335097,0.022222222222222223,0.9576719576719577
newsela_avgglove-wiki-gigaword-300_class_logistic_reg,2.35031319869618,0.893339396654607,0.8533865662978104,0.8118112106156076,53.02469135802469,6.590828924162257,0.01763668430335097,0.02644448240303162,0.01763668430335097,0.1984126984126984,0.9735449735449735
newsela_avgglove-wiki-gigaword-300_class_svm,2.411506134552188,0.9165984501405241,0.8846997848090542,0.8472092175077925,45.05996472663139,5.878306878306878,0.015873015873015872,0.0196078431372549,0.015873015873015872,0.025641025641025644,0.9947089947089947
newsela_avgglove-wiki-gigaword-300_linear_reg,2.5472776483560424,0.9682043562349554,0.873015873015873,0.837742504409171,43.00191176568734,6.441055467313035,,,,,0.7724867724867724
newsela_avgglove-wiki-gigaword-300_ordinal_logistic_reg,2.4224345201436477,0.9207522613841059,0.8840175080135996,0.8487566526213608,47.21869488536155,6.340388007054674,0.0,0.0,0.0,0.0,0.9841269841269841
newsela_avgword2vec-google-news-300_class_logistic_reg,2.2890600282785645,0.8700574483872827,0.8450929008177994,0.8012451259428796,61.87830687830688,7.310405643738977,0.005291005291005291,0.007434944237918215,0.005291005291005291,0.012499999999999999,0.9841269841269841
newsela_avgword2vec-google-news-300_class_svm,2.428737047335631,0.9231478126843364,0.8392583481961526,0.807556525596666,47.232804232804234,6.315696649029983,0.001763668430335097,0.0032362459546925564,0.001763668430335097,0.0196078431372549,0.9365079365079365
newsela_avgword2vec-google-news-300_linear_reg,2.596668744916879,0.986977604168994,0.8835978835978836,0.8483245149911816,42.48086819332751,6.382791489752195,,,,,0.7777777777777778
newsela_avgword2vec-google-news-300_ordinal_logistic_reg,2.437966189314087,0.926655752022484,0.8535079405594335,0.8155402468871464,48.05643738977072,6.504409171075838,0.0,0.0,0.0,0.0,0.9312169312169312
newsela_bertRank,2.6156239902872547,0.9941823747808448,0.9656084656084656,0.961199294532628,0.07142826085846643,0.14999513760828923,,,,,0.9576719576719577
newsela_eng_bert_regression,2.4431542719955037,0.9286277099108973,0.7063492063492064,0.6507936507936508,114.20433757655438,10.62749492962963,,,,,0.5608465608465608
newsela_engbertRank,2.586458198318248,0.9830966390520918,0.9312169312169312,0.9118165784832452,0.07763929913043963,0.09965669824945325,,,,,0.8783068783068783
newsela_fasttext-wiki-news-subwords-300_pairwiseSVM,2.5941487397014598,0.9860197658945217,0.8835978835978836,0.8518518518518519,1.9770723104056438,1.017636684303351,0.3915343915343915,0.3915343915343915,0.3915343915343915,0.3915343915343915,0.7936507936507936
newsela_glove-wiki-gigaword-300_pairwiseSVM,2.6105839798564165,0.9922666982319,0.9656084656084656,0.961199294532628,1.7583774250440918,1.0317460317460319,0.32275132275132273,0.32275132275132273,0.32275132275132273,0.32275132275132273,0.9576719576719577
newsela_mbertRank,2.5965382191799233,0.9869279921499812,0.9312169312169312,0.9153439153439153,0.1704759867501667,0.2153378438095238,,,,,0.8888888888888888
newsela_mbert_regression,2.1681474942933123,0.8240993479016597,0.16137566137566137,0.09700176366843034,120.19033673840724,10.919269795590829,,,,,0.20105820105820105
newsela_sum_fasttext-wiki-news-subwords-300_class_logistic_reg,2.3901588955499133,0.9084844976591642,0.76763532949836,0.733132568481723,50.33862433862434,6.624338624338624,0.007054673721340388,0.013783670033670033,0.007054673721340388,0.37037037037037035,0.8571428571428571
newsela_sum_fasttext-wiki-news-subwords-300_class_svm,2.47049783707486,0.9390208285573521,0.8923746470378483,0.8744519970037589,39.139329805996475,5.350970017636684,0.014109347442680775,0.02088572438519416,0.014109347442680775,0.04612576738012278,0.9470899470899471
